paragraph_no,compound_name,iupac_name,inchi,smiles,has_structure_fig,other_info
[0338],pseudouracil,,,,False,alternative nucleobase
[0338],4-thiouracil,,,,False,alternative nucleobase
[0338],8-bromo adenine,,,,False,alternative nucleobase
[0338],8-amino adenine,,,,False,alternative nucleobase
[0338],8-thiol adenine,,,,False,alternative nucleobase
[0338],8-thioalkyl adenine,,,,False,alternative nucleobase
[0338],8-hydroxy adenine,,,,False,alternative nucleobase
[0338],8-bromo guanine,,,,False,alternative nucleobase
[0338],8-amino guanine,,,,False,alternative nucleobase
[0338],8-thiol guanine,,,,False,alternative nucleobase
[0338],8-thioalkyl guanine,,,,False,alternative nucleobase
[0338],8-hydroxy guanine,,,,False,alternative nucleobase
[0338],5-bromo uracil,,,,False,alternative nucleobase
[0338],5-trifluoromethyl uracil,,,,False,alternative nucleobase
[0338],5-bromo cytosine,,,,False,alternative nucleobase
[0338],5-trifluoromethyl cytosine,,,,False,alternative nucleobase
[0338],7-methylguanine,,,,False,alternative nucleobase
[0338],7-methyladenine,,,,False,alternative nucleobase
[0338],8-azaguanine,,,,False,alternative nucleobase
[0338],8-azaadenine,,,,False,alternative nucleobase
[0338],deazaguanine,,,,False,alternative nucleobase
[0338],7-deazaguanine,,,,False,alternative nucleobase
[0338],3-deazaguanine,,,,False,alternative nucleobase
[0338],deazaadenine,,,,False,alternative nucleobase
[0338],7-deazaadenine,,,,False,alternative nucleobase
[0338],3-deazaadenine,,,,False,alternative nucleobase
[0338],"pyrazolo[3,4-d]pyrimidine",,,,False,alternative nucleobase
[0338],"imidazo[1,5-a]1,3,5 triazinones",,,,False,alternative nucleobase
[0338],9-deazapurines,,,,False,alternative nucleobase
[0338],"imidazo[4,5-d]pyrazines",,,,False,alternative nucleobase
[0338],"thiazolo[4,5-d]pyrimidines",,,,False,alternative nucleobase
[0338],pyrazin-2-ones,,,,False,alternative nucleobase
[0338],"1,2,4-triazine",,,,False,alternative nucleobase
[0338],pyridazine,,,,False,alternative nucleobase
[0338],"1,3,5 triazine",,,,False,alternative nucleobase
[0338],5-methylcytosine,,,,False,"5-me-C, alternative nucleobase"
[0338],5-hydroxymethyl cytosine,,,,False,alternative nucleobase
[0338],xanthine,,,,False,alternative nucleobase
[0338],adenine analogs,,,,False,"e.g., 7-deaza adenine"
[0338],7-deaza adenine,,,,False,alternative nucleobase
[0339],ribose,,,,False,"5-carbon sugar, component of nucleoside"
[0339],arabinose,,,,False,"5-carbon sugar, component of nucleoside"
[0339],xylose,,,,False,"5-carbon sugar, component of nucleoside"
[0339],glucose,,,,False,"6-carbon sugar, component of nucleoside"
[0339],galactose,,,,False,"6-carbon sugar, component of nucleoside"
[0339],deoxy derivative,,,,False,"sugar, component of nucleoside"
[0345],2'-hydroxy group,,,,False,"Exemplary substitutions at the 2'-position include, but are not limited to, H, azido, halo (e.g., fluoro), optionally substituted C1-6 alkyl (e.g., methyl); optionally substituted C1-6 alkoxy (e.g., methoxy or ethoxy); optionally substituted C6-10 aryloxy; optionally substituted C3-8 cycloalkyl; optionally substituted C6-10 aryl-C1-6 alkoxy, optionally substituted C1-12 (heterocyclyl)oxy; a sugar (e.g., ribose, pentose, or any described herein); a polyethyleneglycol (PEG), —O(CH2CH2O)nCH2CH2OR, where R is H or optionally substituted alkyl, and n is an integer from 0 to 20 (e.g., from 0 to 4, from 0 to 8, from 0 to 10, from 0 to 16, from 1 to 4, from 1 to 8, from 1 to 10, from 1 to 16, from 1 to 20, from 2 to 4, from 2 to 8, from 2 to 10, from 2 to 16, from 2 to 20, from 4 to 8, from 4 to 10, from 4 to 16, and from 4 to 20); “locked” nucleic acids (LNA) in which the 2′-hydroxy is connected by a C1-6 alkylene or C1-6 heteroalkylene bridge to the 4′-carbon of the same ribose sugar, where exemplary bridges included methylene, propylene, ether, or amino bridges; aminoalkyl, as defined herein; aminoalkoxy, as defined herein; amino as defined herein; and amino acid, as defined herein."
[0345],polyethyleneglycol (PEG),,,,False,"—O(CH2CH2O)nCH2CH2OR, where R is H or optionally substituted alkyl, and n is an integer from 0 to 20 (e.g., from 0 to 4, from 0 to 8, from 0 to 10, from 0 to 16, from 1 to 4, from 1 to 8, from 1 to 10, from 1 to 16, from 1 to 20, from 2 to 4, from 2 to 8, from 2 to 10, from 2 to 16, from 2 to 20, from 4 to 8, from 4 to 10, from 4 to 16, and from 4 to 20)"
[0345],locked nucleic acids (LNA),,,,False,"in which the 2′-hydroxy is connected by a C1-6 alkylene or C1-6 heteroalkylene bridge to the 4′-carbon of the same ribose sugar, where exemplary bridges included methylene, propylene, ether, or amino bridges"
[0346],glycol nucleic acid (GNA),,,,False,"RNA includes the sugar group ribose, which is a 5-membered ring having an oxygen. Exemplary, non-limiting alternative nucleotides include replacement of the oxygen in ribose (e.g., with S, Se, or alkylene, such as methylene or ethylene); addition of a double bond (e.g., to replace ribose with cyclopentenyl or cyclohexenyl); ring contraction of ribose (e.g., to form a 4-membered ring of cyclobutane or oxetane); ring expansion of ribose (e.g., to form a 6- or 7-membered ring having an additional carbon or heteroatom, such as for anhydrohexitol, altritol, mannitol, cyclohexanyl, cyclohexenyl, and morpholino (that also has a phosphoramidate backbone)); multicyclic forms (e.g., tricyclo and “unlocked” forms, such as glycol nucleic acid (GNA) (e.g., R-GNA or S-GNA, where ribose is replaced by glycol units attached to phosphodiester bonds), threose nucleic acid (TNA, where ribose is replace with α-L-threofuranosyl-(3′→2′)), and peptide nucleic acid (PNA, where 2-amino-ethyl-glycine linkages replace the ribose and phosphodiester backbone)."
[0346],R-GNA,,,,False,glycol units attached to phosphodiester bonds
[0346],S-GNA,,,,False,glycol units attached to phosphodiester bonds
[0346],threose nucleic acid (TNA),,,,False,ribose is replace with α-L-threofuranosyl-(3′→2′)
[0346],peptide nucleic acid (PNA),,,,False,2-amino-ethyl-glycine linkages replace the ribose and phosphodiester backbone
[0348],LNA,,,,False,"nucleoside wherein the sugar is L-ribose, 2′-O-methyl-ribose, 2′-fluoro-ribose, arabinose, hexitol, an LNA, or a PNA."
[0348],PNA,,,,False,"nucleoside wherein the sugar is L-ribose, 2′-O-methyl-ribose, 2′-fluoro-ribose, arabinose, hexitol, an LNA, or a PNA."
[0350],phosphorothioate,,,,False,"Alternative phosphate groups include, but are not limited to, phosphorothioate, phosphoroselenates, boranophosphates, boranophosphate esters, hydrogen phosphonates, phosphoramidates, phosphorodiamidates, alkyl or aryl phosphonates, and phosphotriesters."
[0350],phosphoroselenates,,,,False,"Alternative phosphate groups include, but are not limited to, phosphorothioate, phosphoroselenates, boranophosphates, boranophosphate esters, hydrogen phosphonates, phosphoramidates, phosphorodiamidates, alkyl or aryl phosphonates, and phosphotriesters."
[0350],boranophosphates,,,,False,"Alternative phosphate groups include, but are not limited to, phosphorothioate, phosphoroselenates, boranophosphates, boranophosphate esters, hydrogen phosphonates, phosphoramidates, phosphorodiamidates, alkyl or aryl phosphonates, and phosphotriesters."
[0350],boranophosphate esters,,,,False,"Alternative phosphate groups include, but are not limited to, phosphorothioate, phosphoroselenates, boranophosphates, boranophosphate esters, hydrogen phosphonates, phosphoramidates, phosphorodiamidates, alkyl or aryl phosphonates, and phosphotriesters."
[0350],hydrogen phosphonates,,,,False,"Alternative phosphate groups include, but are not limited to, phosphorothioate, phosphoroselenates, boranophosphates, boranophosphate esters, hydrogen phosphonates, phosphoramidates, phosphorodiamidates, alkyl or aryl phosphonates, and phosphotriesters."
[0350],phosphoramidates,,,,False,"Alternative phosphate groups include, but are not limited to, phosphorothioate, phosphoroselenates, boranophosphates, boranophosphate esters, hydrogen phosphonates, phosphoramidates, phosphorodiamidates, alkyl or aryl phosphonates, and phosphotriesters."
[0350],phosphorodiamidates,,,,False,"Alternative phosphate groups include, but are not limited to, phosphorothioate, phosphoroselenates, boranophosphates, boranophosphate esters, hydrogen phosphonates, phosphoramidates, phosphorodiamidates, alkyl or aryl phosphonates, and phosphotriesters."
[0350],alkyl or aryl phosphonates,,,,False,"Alternative phosphate groups include, but are not limited to, phosphorothioate, phosphoroselenates, boranophosphates, boranophosphate esters, hydrogen phosphonates, phosphoramidates, phosphorodiamidates, alkyl or aryl phosphonates, and phosphotriesters."
[0350],phosphotriesters,,,,False,"Alternative phosphate groups include, but are not limited to, phosphorothioate, phosphoroselenates, boranophosphates, boranophosphate esters, hydrogen phosphonates, phosphoramidates, phosphorodiamidates, alkyl or aryl phosphonates, and phosphotriesters."
[0350],Phosphorodithioates,,,,False,Phosphorodithioates have both non-linking oxygens replaced by sulfur.
[0351],borane moiety,,,,False,BH3
[0351],sulfur,,,,False,thio
[0351],methyl,,,,False,
[0351],ethyl,,,,False,
[0351],methoxy,,,,False,
[0352],α-thio phosphate,,,,False,
[0356],5′-ppp-5′-triphosphate linkage,,,,False,Linkage between a terminal guanosine cap residue and the 5′-terminal transcribed sense nucleotide of the polynucleotide.
[0356],N7-methyl-guanylate residue,,,,False,Methylated guanylate cap.
[0357],5′-ppp-5′ phosphorodiester linkages,,,,False,Linkages that require cleavage for cap structure hydrolysis.
[0357],α-thio-guanosine nucleotides,,,,False,Alternative nucleotides used with Vaccinia Capping Enzyme to create a phosphorothioate linkage.
[0357],α-methyl-phosphonate nucleotides,,,,False,Additional alternative guanosine nucleotides.
[0357],seleno-phosphate nucleotides,,,,False,Additional alternative guanosine nucleotides.
[0361],"N7,3′-O-dimethyl-guanosine-5′-triphosphate-5′-guanosine",,,,False,"ARCA cap contains two guanosines linked by a 5′-5′-triphosphate group, wherein one guanosine contains an N7-methyl group as well as a 3′-O-methyl group."
[0361],m7G-3′mppp-G,,,,False,"Equivalent designation for N7,3′-O-dimethyl-guanosine-5′-triphosphate-5′-guanosine."
[0361],3′ O-Me-m7G(5′)ppp(5′)G,,,,False,"Equivalent designation for N7,3′-O-dimethyl-guanosine-5′-triphosphate-5′-guanosine."
[0362],"N7,2′-O-dimethyl-guanosine-5′-triphosphate-5′-guanosine",,,,False,mCAP cap is similar to ARCA but has a 2′-O-methyl group on guanosine.
[0362],m7Gm-ppp-G,,,,False,"Equivalent designation for N7,2′-O-dimethyl-guanosine-5′-triphosphate-5′-guanosine."
[0364],N7-(4-chlorophenoxyethyl)-G(5′)ppp(5′)G,,,,False,N7-(4-chlorophenoxyethyl) substituted dinucleotide cap analog.
[0364],N7-(4-chlorophenoxyethyl)-m3′-OG(5′)ppp(5′)G,,,,False,N7-(4-chlorophenoxyethyl) substituted dinucleotide cap analog.
[0366],Cap1 structure,,,,False,Canonical 5′-5′-triphosphate linkage between the 5′-terminal nucleotide of a polynucleotide and a guanosine cap nucleotide wherein the cap guanosine contains an N7-methylation and the 5′-terminal nucleotide of the polynucleotide contains a 2′-O-methyl.
[0366],"7mG(5′)ppp(5′)N,pN2p",,,,False,Cap 0 structure
[0366],7mG(5′)ppp(5′)NlmpNp,,,,False,Cap 1 structure
[0366],7mG(5′)-ppp(5′)NlmpN2mp,,,,False,Cap 2 structure
[0366],"m(7)Gpppm(3)(6,6,2′)Apm(2′)Apm(2′)Cpm(2)(3,2′)Up",,,,False,Cap 4 structure
[0368],inosine,,,,False,Guanosine analog
[0368],N1-methyl-guanosine,,,,False,Guanosine analog
[0368],2′-fluoro-guanosine,,,,False,Guanosine analog
[0368],7-deaza-guanosine,,,,False,Guanosine analog
[0368],8-oxo-guanosine,,,,False,Guanosine analog
[0368],2-amino-guanosine,,,,False,Guanosine analog
[0368],LNA-guanosine,,,,False,Guanosine analog
[0368],2-azido-guanosine,,,,False,Guanosine analog
[0369],capped guanosine triphosphate (GTP),,,,False,May have modification at the 2′- and/or 3′-position.
[0395],miR-221,,,,False,microRNA
[0395],miR-22,,,,False,microRNA
[0400],3′-deoxynucleoside,,,,False,alternative nucleoside
[0400],"2′,3′-dideoxynucleoside",,,,False,alternative nucleoside
[0400],3′-O-methylnucleosides,,,,False,alternative nucleoside
[0400],3′-O-ethylnucleosides,,,,False,alternative nucleoside
[0400],3′-arabinosides,,,,False,alternative nucleoside
[0403],miR-122 seed sequence,,,,False,A specific example of a miR sequence mentioned in the context of a stem loop region.
[0405],miR-221,,,,False,Mentioned in the context of controlling RNA structure accessibility.
[0405],miR-22,,,,False,Mentioned in the context of controlling RNA structure accessibility.
[0414],poly-A binding protein,,,,False,abbreviated as PABP
[0414],analogs of poly-A binding protein,,,,False,analogs of PABP
[0415],poly-A binding protein,,,,False,abbreviated as PABP
[0415],analogs of poly-A binding protein,,,,False,analogs of PABP
[0418],G-quartet,,,,False,a cyclic hydrogen bonded array of four guanosine nucleotides that can be formed by G-rich sequences in both DNA and RNA
[0418],guanosine nucleotides,,,,False,
[0421],3′-deoxyadenosine,,,,False,cordycepin
[0421],3′-deoxyuridine,,,,False,
[0421],3′-deoxycytosine,,,,False,
[0421],3′-deoxyguanosine,,,,False,
[0421],3′-deoxythymine,,,,False,
[0421],"2′,3′-dideoxyadenosine",,,,False,
[0421],"2′,3′-dideoxyuridine",,,,False,
[0421],"2′,3′-dideoxycytosine",,,,False,
[0421],"2′,3′-dideoxyguanosine",,,,False,
[0421],"2′,3′-dideoxythymine",,,,False,
[0423],3′-deoxynucleoside,,,,False,
[0423],"2′,3′-dideoxynucleoside",,,,False,
[0423],3′-O-methylnucleosides,,,,False,
[0423],3′-O-ethylnucleosides,,,,False,
[0423],3′-arabinosides,,,,False,
[0424],3′-deoxyadenosine,,,,False,cordycepin
[0424],3′-deoxyuridine,,,,False,
[0424],3′-deoxycytosine,,,,False,
[0424],3′-deoxyguanosine,,,,False,
[0424],3′-deoxythymine,,,,False,
[0424],"2′,3′-dideoxyadenosine",,,,False,
[0424],"2′,3′-dideoxyuridine",,,,False,
[0424],"2′,3′-dideoxycytosine",,,,False,
[0424],"2′,3′-dideoxyguanosine",,,,False,
[0424],"2′,3′-dideoxythymine",,,,False,
[0425],vitamin A,,,,False,
[0425],vitamin E,,,,False,
[0426],glucose,,,,False,simple sugar
[0426],glycogen,,,,False,polysaccharide
[0427],poly(caprolactone) (PCL),,,,False,polymer
[0427],ethylene vinyl acetate polymer (EVA),,,,False,polymer
[0427],poly(lactic acid) (PLA),,,,False,polymer
[0427],poly(L-lactic acid) (PLLA),,,,False,polymer
[0427],poly(glycolic acid) (PGA),,,,False,polymer
[0427],poly(lactic acid-co-glycolic acid) (PLGA),,,,False,polymer
[0427],poly(L-lactic acid-co-glycolic acid) (PLLGA),,,,False,polymer
[0427],"poly(D,L-lactide) (PDLA)",,,,False,polymer
[0427],poly(L-lactide) (PLLA),,,,False,polymer
[0427],"poly(D,L-lactide-co-caprolactone)",,,,False,polymer
[0427],"poly(D,L-lactide-co-caprolactone-co-glycolide)",,,,False,polymer
[0427],"poly(D,L-lactide-co-PEO-co-D,L-lactide)",,,,False,polymer
[0427],"poly(D,L-lactide-co-PPO-co-D,L-lactide)",,,,False,polymer
[0427],polyalkyl cyanoacrylate,,,,False,polymer
[0427],polyurethane,,,,False,polymer
[0427],poly-L-lysine (PLL),,,,False,polymer
[0427],hydroxypropyl methacrylate (HPMA),,,,False,polymer
[0427],polyethyleneglycol,,,,False,polymer
[0427],poly-L-glutamic acid,,,,False,polymer
[0427],poly(hydroxy acids),,,,False,polymer
[0427],polyanhydrides,,,,False,polymer
[0427],polyorthoesters,,,,False,polymer
[0427],poly(ester amides),,,,False,polymer
[0427],polyamides,,,,False,polymer
[0427],poly(ester ethers),,,,False,polymer
[0427],polycarbonates,,,,False,polymer
[0427],polyethylene,,,,False,polymer
[0427],polypropylene,,,,False,polymer
[0427],poly(ethylene glycol) (PEG),,,,False,polymer
[0427],polyalkylene oxides (PEO),,,,False,polymer
[0427],poly(ethylene terephthalate),,,,False,polymer
[0427],polyvinyl alcohols (PVA),,,,False,polymer
[0427],polyvinyl ethers,,,,False,polymer
[0427],poly(vinyl acetate),,,,False,polymer
[0427],poly(vinyl chloride) (PVC),,,,False,polymer
[0427],polyvinylpyrrolidone (PVP),,,,False,polymer
[0427],polysiloxanes,,,,False,polymer
[0427],polystyrene (PS),,,,False,polymer
[0427],polyurethanes,,,,False,polymer
[0427],alkyl celluloses,,,,False,polymer
[0427],hydroxyalkyl celluloses,,,,False,polymer
[0427],cellulose ethers,,,,False,polymer
[0427],cellulose esters,,,,False,polymer
[0427],nitro celluloses,,,,False,polymer
[0427],hydroxypropylcellulose,,,,False,polymer
[0427],carboxymethylcellulose,,,,False,polymer
[0427],poly(methyl(meth)acrylate) (PMMA),,,,False,polymer
[0427],poly(ethyl(meth)acrylate),,,,False,polymer
[0427],poly(butyl(meth)acrylate),,,,False,polymer
[0427],poly(isobutyl(meth)acrylate),,,,False,polymer
[0427],poly(hexyl(meth)acrylate),,,,False,polymer
[0427],poly(isodecyl(meth)acrylate),,,,False,polymer
[0427],poly(lauryl(meth)acrylate),,,,False,polymer
[0427],poly(phenyl(meth)acrylate),,,,False,polymer
[0427],poly(methyl acrylate),,,,False,polymer
[0427],poly(isopropyl acrylate),,,,False,polymer
[0427],poly(isobutyl acrylate),,,,False,polymer
[0427],poly(octadecyl acrylate),,,,False,polymer
[0427],polydioxanone,,,,False,polymer
[0427],polyhydroxyalkanoates,,,,False,polymer
[0427],polypropylene fumarate,,,,False,polymer
[0427],polyoxymethylene,,,,False,polymer
[0427],poloxamers,,,,False,polymer
[0427],polyoxamines,,,,False,polymer
[0427],poly(ortho)esters,,,,False,polymer
[0427],poly(butyric acid),,,,False,polymer
[0427],poly(valeric acid),,,,False,polymer
[0427],poly(lactide-co-caprolactone),,,,False,polymer
[0427],trimethylene carbonate,,,,False,polymer
[0427],poly(N-acryloylmorpholine) (PAcM),,,,False,polymer
[0427],poly(2-methyl-2-oxazoline) (PMOX),,,,False,polymer
[0427],poly(2-ethyl-2-oxazoline) (PEOZ),,,,False,polymer
[0427],polyglycerol,,,,False,polymer
[0428],bovine serum albumin,,,,False,anionic protein
[0428],dimethyldioctadecyl-ammonium bromide,,,,False,cationic surfactant
[0428],cyclodextrin,,,,False,sugar derivative
[0428],heparin,,,,False,polymer
[0428],polyethylene glycol,,,,False,polymer
[0428],poloxamer,,,,False,polymer
[0428],acetylcysteine,,,,False,mucolytic agent
[0428],mugwort,,,,False,mucolytic agent
[0428],bromelain,,,,False,mucolytic agent
[0428],papain,,,,False,mucolytic agent
[0428],clerodendrum,,,,False,mucolytic agent
[0428],bromhexine,,,,False,mucolytic agent
[0428],carbocisteine,,,,False,mucolytic agent
[0428],eprazinone,,,,False,mucolytic agent
[0428],mesna,,,,False,mucolytic agent
[0428],ambroxol,,,,False,mucolytic agent
[0428],sobrerol,,,,False,mucolytic agent
[0428],domiodol,,,,False,mucolytic agent
[0428],letosteine,,,,False,mucolytic agent
[0428],stepronin,,,,False,mucolytic agent
[0428],tiopronin,,,,False,mucolytic agent
[0428],gelsolin,,,,False,mucolytic agent
[0428],thymosin β4,,,,False,mucolytic agent
[0428],dornase alfa,,,,False,mucolytic agent
[0428],neltenexine,,,,False,mucolytic agent
[0428],erdosteine,,,,False,mucolytic agent
[0428],rhDNase,,,,False,DNase
[0431],calcium carbonate,,,,False,"diluent, granulating and dispersing agent"
[0431],sodium carbonate,,,,False,"diluent, granulating and dispersing agent"
[0431],calcium phosphate,,,,False,diluent
[0431],dicalcium phosphate,,,,False,diluent
[0431],calcium sulfate,,,,False,diluent
[0431],calcium hydrogen phosphate,,,,False,diluent
[0431],sodium phosphate,,,,False,diluent
[0431],lactose,,,,False,diluent
[0431],sucrose,,,,False,diluent
[0431],cellulose,,,,False,diluent
[0431],microcrystalline cellulose,,,,False,diluent
[0431],kaolin,,,,False,diluent
[0431],mannitol,,,,False,diluent
[0431],sorbitol,,,,False,diluent
[0431],inositol,,,,False,diluent
[0431],sodium chloride,,,,False,diluent
[0431],dry starch,,,,False,diluent
[0431],cornstarch,,,,False,"diluent, granulating and dispersing agent"
[0431],powdered sugar,,,,False,diluent
[0431],potato starch,,,,False,granulating and dispersing agent
[0431],tapioca starch,,,,False,granulating and dispersing agent
[0431],sodium starch glycolate,,,,False,granulating and dispersing agent
[0431],clays,,,,False,granulating and dispersing agent
[0431],alginic acid,,,,False,granulating and dispersing agent
[0431],guar gum,,,,False,granulating and dispersing agent
[0431],citrus pulp,,,,False,granulating and dispersing agent
[0431],agar,,,,False,granulating and dispersing agent
[0431],bentonite,,,,False,granulating and dispersing agent
[0431],cellulose products,,,,False,granulating and dispersing agent
[0431],wood products,,,,False,granulating and dispersing agent
[0431],natural sponge,,,,False,granulating and dispersing agent
[0431],cation-exchange resins,,,,False,granulating and dispersing agent
[0431],silicates,,,,False,granulating and dispersing agent
[0431],cross-linked poly(vinyl-pyrrolidone),crospovidone,,,False,granulating and dispersing agent
[0431],carboxymethyl cellulose,,,,False,granulating and dispersing agent
[0431],cross-linked sodium carboxymethyl cellulose,croscarmellose,,,False,granulating and dispersing agent
[0431],methylcellulose,,,,False,granulating and dispersing agent
[0431],pregelatinized starch,starch 1500,,,False,granulating and dispersing agent
[0431],microcrystalline starch,,,,False,granulating and dispersing agent
[0431],water insoluble starch,,,,False,granulating and dispersing agent
[0431],calcium carboxymethyl cellulose,,,,False,granulating and dispersing agent
[0431],magnesium aluminum silicate,VEEGUM®,,,False,granulating and dispersing agent
[0431],sodium lauryl sulfate,,,,False,granulating and dispersing agent
[0431],quaternary ammonium compounds,,,,False,granulating and dispersing agent
[0432],acacia,,,,False,natural emulsifier
[0432],agar,,,,False,natural emulsifier
[0432],alginic acid,,,,False,natural emulsifier
[0432],sodium alginate,,,,False,natural emulsifier
[0432],tragacanth,,,,False,natural emulsifier
[0432],chondrux,,,,False,natural emulsifier
[0432],cholesterol,,,,False,natural emulsifier
[0432],xanthan,,,,False,natural emulsifier
[0432],pectin,,,,False,natural emulsifier
[0432],gelatin,,,,False,natural emulsifier
[0432],egg yolk,,,,False,natural emulsifier
[0432],casein,,,,False,natural emulsifier
[0432],wool fat,,,,False,natural emulsifier
[0432],wax,,,,False,natural emulsifier
[0432],lecithin,,,,False,natural emulsifier
[0432],bentonite,aluminum silicate,,,False,"colloidal clay, natural emulsifier"
[0432],VEEGUM®,magnesium aluminum silicate,,,False,"colloidal clay, natural emulsifier"
[0432],long chain amino acid derivatives,,,,False,natural emulsifier
[0432],stearyl alcohol,,,,False,"high molecular weight alcohol, natural emulsifier"
[0432],cetyl alcohol,,,,False,"high molecular weight alcohol, natural emulsifier"
[0432],oleyl alcohol,,,,False,"high molecular weight alcohol, natural emulsifier"
[0432],triacetin monostearate,,,,False,"high molecular weight alcohol, natural emulsifier"
[0432],ethylene glycol distearate,,,,False,"high molecular weight alcohol, natural emulsifier"
[0432],glyceryl monostearate,,,,False,"high molecular weight alcohol, natural emulsifier"
[0432],propylene glycol monostearate,,,,False,"high molecular weight alcohol, natural emulsifier"
[0432],polyvinyl alcohol,,,,False,"high molecular weight alcohol, natural emulsifier"
[0432],carbomer,,,,False,natural emulsifier
[0432],carboxy polymethylene,,,,False,"carbomer, natural emulsifier"
[0432],polyacrylic acid,,,,False,"carbomer, natural emulsifier"
[0432],acrylic acid polymer,,,,False,"carbomer, natural emulsifier"
[0432],carboxyvinyl polymer,,,,False,"carbomer, natural emulsifier"
[0432],carrageenan,,,,False,natural emulsifier
[0432],carboxymethylcellulose sodium,,,,False,"cellulosic derivative, natural emulsifier"
[0432],powdered cellulose,,,,False,"cellulosic derivative, natural emulsifier"
[0432],hydroxymethyl cellulose,,,,False,"cellulosic derivative, natural emulsifier"
[0432],hydroxypropyl cellulose,,,,False,"cellulosic derivative, natural emulsifier"
[0432],hydroxypropyl methylcellulose,,,,False,"cellulosic derivative, natural emulsifier"
[0432],methylcellulose,,,,False,"cellulosic derivative, natural emulsifier"
[0432],sorbitan fatty acid esters,,,,False,natural emulsifier
[0432],polyoxyethylene sorbitan monolaurate,TWEEN®20,,,False,"sorbitan fatty acid ester, natural emulsifier"
[0432],polyoxyethylene sorbitan,TWEEN® 60,,,False,"sorbitan fatty acid ester, natural emulsifier"
[0432],polyoxyethylene sorbitan monooleate,TWEEN®80,,,False,"sorbitan fatty acid ester, natural emulsifier"
[0432],sorbitan monopalmitate,SPAN®40,,,False,"sorbitan fatty acid ester, natural emulsifier"
[0432],sorbitan monostearate,SPAN®60,,,False,"sorbitan fatty acid ester, natural emulsifier"
[0432],sorbitan tristearate,SPAN®65,,,False,"sorbitan fatty acid ester, natural emulsifier"
[0432],glyceryl monooleate,,,,False,"sorbitan fatty acid ester, natural emulsifier"
[0432],sorbitan monooleate,SPAN®80,,,False,"sorbitan fatty acid ester, natural emulsifier"
[0432],polyoxyethylene esters,,,,False,natural emulsifier
[0432],polyoxyethylene monostearate,MYRJ® 45,,,False,"polyoxyethylene ester, natural emulsifier"
[0432],polyoxyethylene hydrogenated castor oil,,,,False,"polyoxyethylene ester, natural emulsifier"
[0432],polyethoxylated castor oil,,,,False,"polyoxyethylene ester, natural emulsifier"
[0432],polyoxymethylene stearate,,,,False,"polyoxyethylene ester, natural emulsifier"
[0432],SOLUTOL®,,,,False,"polyoxyethylene ester, natural emulsifier"
[0432],sucrose fatty acid esters,,,,False,natural emulsifier
[0432],polyethylene glycol fatty acid esters,,,,False,natural emulsifier
[0432],CREMOPHOR®,,,,False,"polyethylene glycol fatty acid ester, natural emulsifier"
[0432],polyoxyethylene ethers,,,,False,natural emulsifier
[0432],polyoxyethylene lauryl ether,BRIJ® 30,,,False,"polyoxyethylene ether, natural emulsifier"
[0432],poly(vinyl-pyrrolidone),,,,False,natural emulsifier
[0432],diethylene glycol monolaurate,,,,False,natural emulsifier
[0432],triethanolamine oleate,,,,False,natural emulsifier
[0432],sodium oleate,,,,False,natural emulsifier
[0432],potassium oleate,,,,False,natural emulsifier
[0432],ethyl oleate,,,,False,natural emulsifier
[0432],oleic acid,,,,False,natural emulsifier
[0432],ethyl laurate,,,,False,natural emulsifier
[0432],sodium lauryl sulfate,,,,False,natural emulsifier
[0432],PLURONIC® F 68,,,,False,natural emulsifier
[0432],POLOXAMER® 188,,,,False,natural emulsifier
[0432],cetrimonium bromide,,,,False,natural emulsifier
[0432],cetylpyridinium chloride,,,,False,natural emulsifier
[0432],benzalkonium chloride,,,,False,natural emulsifier
[0432],docusate sodium,,,,False,natural emulsifier
[0433],starch,,,,False,binding agent
[0433],cornstarch,,,,False,binding agent
[0433],starch paste,,,,False,binding agent
[0433],gelatin,,,,False,binding agent
[0433],sugars,,,,False,binding agent
[0433],sucrose,,,,False,binding agent
[0433],glucose,,,,False,binding agent
[0433],dextrose,,,,False,binding agent
[0433],dextrin,,,,False,binding agent
[0433],molasses,,,,False,binding agent
[0433],lactose,,,,False,binding agent
[0433],lactitol,,,,False,binding agent
[0433],mannitol,,,,False,binding agent
[0433],acacia,,,,False,"natural gum, binding agent"
[0433],sodium alginate,,,,False,"natural gum, binding agent"
[0433],extract of Irish moss,,,,False,"natural gum, binding agent"
[0433],panwar gum,,,,False,"natural gum, binding agent"
[0433],ghatti gum,,,,False,"natural gum, binding agent"
[0433],mucilage of isapol husks,,,,False,"natural gum, binding agent"
[0433],carboxymethylcellulose,,,,False,"synthetic gum, binding agent"
[0433],methylcellulose,,,,False,"synthetic gum, binding agent"
[0433],ethylcellulose,,,,False,"synthetic gum, binding agent"
[0433],hydroxyethylcellulose,,,,False,"synthetic gum, binding agent"
[0433],hydroxypropyl cellulose,,,,False,"synthetic gum, binding agent"
[0433],hydroxypropyl methylcellulose,,,,False,"synthetic gum, binding agent"
[0433],microcrystalline cellulose,,,,False,"synthetic gum, binding agent"
[0433],cellulose acetate,,,,False,"synthetic gum, binding agent"
[0433],poly(vinyl-pyrrolidone),,,,False,"synthetic gum, binding agent"
[0433],magnesium aluminum silicate,VEEGUM®,,,False,"synthetic gum, binding agent"
[0433],larch arabogalactan,,,,False,"synthetic gum, binding agent"
[0433],alginates,,,,False,binding agent
