Experiment_ID,IL_name,Experiment_method,Experiment_value,IL_molratio,HL_name,HL_molratio,CHL_name,CHL_molratio,PEG_name,PEG_molratio,IL_to_nucleicacid_massratio,Aqueous_buffer,Mixing_method,Model,Model_type,Model_target,Route_of_administration,Cargo,Cargo_type,Dose_ug_nucleicacid
Compound 178,Heptadecan-9-yl 8-((3-(2-methoxyacetamido)propyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,796.2 (MH+),,,,,,,,,,,,,,,,,
Compound 179,"Heptadecan-9-yl 8-((3-(1H-1,2,3-triazol-1-yl)propyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate",Synthesis,776.2 (MH+),,,,,,,,,,,,,,,,,
Compound 181,Heptadecan-9-yl 8-((3-((methoxycarbonyl)amino)propyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,782.1 (MH+),,,,,,,,,,,,,,,,,
Compound 182,"Heptadecan-9-yl 8-((3-((2-(methylamino)-3,4-dioxocyclobut-1-en-1-yl)amino)propyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate",Synthesis,833.4 (MH+),,,,,,,,,,,,,,,,,
Compound 183,"1,3-Bis(hexyloxy)propan-2-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate",Representative Procedure 1,715.0 (MH+),,,,,,,,,,,,,,,,,
Compound 184,Heptadecan-9-yl 8-((2-hydroxyethyl)(8-((2-methylnonyl)oxy)-8-oxooctyl)amino)octanoate,Representative Procedure 1,725.0 (MH+),,,,,,,,,,,,,,,,,
Compound 185,Henicosan-11-yl 6-((2-hydroxyethyl)(6-oxo-6-(undecyloxy)hexyl)amino)hexanoate,Representative Procedure 1,739.0 (MH+),,,,,,,,,,,,,,,,,
Compound 186,Heptyl 10-((2-hydroxyethyl)(10-oxo-10-(tridecan-7-yloxy)decyl)amino)decanoate,Representative Procedure 1,739.0 (MH+),,,,,,,,,,,,,,,,,
Compound 189,Heptyl 10-((8-(heptadecan-9-yloxy)-8-oxooctyl)(2-hydroxyethyl)amino)decanoate,Representative Procedure 1,710.98 (MH+),,,,,,,,,,,,,,,,,
Compound 194,Heptadecan-9-yl 8-((3-isobutyramidopropyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,794.3 (MH+),,,,,,,,,,,,,,,,,
Compound 197,Heptadecan-9-yl 8-((3-(2-(benzyloxy)acetamido)propyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,872.4 (MH+),,,,,,,,,,,,,,,,,
Compound 198,Heptadecan-9-yl 8-((3-(2-hydroxyacetamido)propyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,782.2 (MH+),,,,,,,,,,,,,,,,,
Compound 200,Heptadecan-9-yl (E)-8-((3-(3-methyl-2-nitroguanidino)propyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,825.3 (MH+),,,,,,,,,,,,,,,,,
Compound 207,Heptadecan-9-yl 8-((3-guanidinopropyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Synthesis,766.3 (MH+),,,,,,,,,,,,,,,,,
Compound 218,"Heptadecan-9-yl 8-((3-(4-(hydroxymethyl)-1H-1,2,3-triazol-1-yl)propyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate",Synthesis,806.1 (MH+),,,,,,,,,,,,,,,,,
Compound 232,Nonyl 8-((2-hydroxyethyl)(6-oxo-6-((4-pentylcyclohexyl)oxy)hexyl)amino)octanoate,Representative Procedure 1,596.84 (MH+),,,,,,,,,,,,,,,,,
Standard MC3 formulation,MC3,Nano-precipitation via microfluidics; Dialysis against PBS,,50.0,DSPC,10.0,cholesterol,38.5,PEG-DMG,1.5,5:1 to 50:1,50 mM sodium citrate buffer (pH 3-4),NanoAssemblr microfluidic based system,Mice,In Vivo,Cells,"Intravenous, intramuscular, intraarterial, intratumoral, or inhalation",mRNA encoding G5 luciferase (Luc) or G5 hEPO,mRNA,0.001 mg/kg to 10 mg/kg
"Example 3: Compounds 1-159, 168-170, 173-175","Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe) selected from Compounds 1-159, 168-170, and 173-175",Nano-precipitation via microfluidics; Dialysis against PBS,,50.0,DSPC,10.0,cholesterol,38.5,PEG-DMG,1.5,5:1 to 50:1,50 mM sodium citrate buffer (pH 3-4),NanoAssemblr microfluidic based system,Mice,In Vivo,Cells,"Intravenous, intramuscular, intraarterial, intratumoral, or inhalation",mRNA encoding G5 luciferase (Luc) or G5 hEPO,mRNA,0.001 mg/kg to 10 mg/kg
Table_2_Compound_1,Compound 1,"Bioluminescence (Total Flux, 3 hours)",3.48E+09,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,Mice,in vivo,,Intravenous,Luciferase mRNA,mRNA,0.5 mg/kg
Table_2_Compound_2,Compound 2,"Bioluminescence (Total Flux, 3 hours)",1.93E+10,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,Mice,in vivo,,Intravenous,Luciferase mRNA,mRNA,0.5 mg/kg
Table_2_MC3,MC3,"Bioluminescence (Total Flux, 3 hours)",1.58E+10,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,Mice,in vivo,,Intravenous,Luciferase mRNA,mRNA,0.5 mg/kg
Table_3B_Compound_108_IV,Compound 108,Fold increase in Luc expression vs MC3 (6h),0.4,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,Mice,in vivo,,Intravenous,Luciferase mRNA,mRNA,0.5 mg/kg
Table_3B_Compound_108_IM,Compound 108,Fold increase in Luc expression vs MC3 (6h),14.2,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,Mice,in vivo,,Intramuscular,Luciferase mRNA,mRNA,0.01 mg/kg
Table_4_Compound_1_Liver,Compound 1,"Bioluminescence (Total Flux, 6 hours)",4.02E+08,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,Mice,in vivo,Liver,Intravenous,Luciferase mRNA,mRNA,0.5 mg/kg
Table_5A_Compound_20_LowDose,Compound 20,"Bioluminescence (Total Flux, 6 hours)",2.59E+07,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,Mice,in vivo,,Intramuscular,Luciferase mRNA + H10 mRNA,mRNA,0.001 mg/kg
Table_7_Compound_1_IL6,Compound 1,"Cytokine IL-6 Induction (pg/ml, 6 hours)",267.24,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,Mice,in vivo,,Intravenous,Luciferase mRNA,mRNA,0.5 mg/kg
Table_8_Compound_1,Compound 1,sC5b-9 Fold increase versus saline,0.82,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,Human cells,in vitro,,,Luciferase mRNA,mRNA,
Table_10_Compound_6,Compound 6,Particle Size (nm),70.5,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,N/A,Physicochemical,,,,,
Table_10_Compound_6_EE,Compound 6,Encapsulation Efficiency (%),97.84,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,N/A,Physicochemical,,,,,
Table_11A_Compound_6_3h,Compound 6,"hEPO expression (pg/ml, 3 hours)",2.31E+06,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,Mice,in vivo,,Intravenous,hEPO mRNA,mRNA,0.5 mg/kg
Table_11A_Compound_18_3h,Compound 18,"hEPO expression (pg/ml, 3 hours)",3.00E+06,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,Mice,in vivo,,Intravenous,hEPO mRNA,mRNA,0.5 mg/kg
Table_13_Compound_3,Compound 3,"hEPO expression (pg/ml, 6 hours)",1.74E+07,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,Rat,in vivo,,Intravenous,hEPO mRNA,mRNA,2.0 mg/kg
Table_14_Compound_3_IP10,Compound 3,"Cytokine IP-10 Induction (pg/mL, 6 hours)",542,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,Rat,in vivo,,Intravenous,hEPO mRNA,mRNA,2.0 mg/kg
Table_15_Compound_3_Liver,Compound 3,% remaining dose in liver (48 hours),14.2,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,Rat,in vivo,Liver,Intravenous,hEPO mRNA,mRNA,2.0 mg/kg
Table_19_Compound_48_0.2mpk_hEPO,Compound 48,"hEPO expression (pg/ml, 6 hours)",4.06E+06,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,Rat,in vivo,,Intravenous,hEPO mRNA,mRNA,0.2 mg/kg
Table_19_Compound_48_0.2mpk_LiverLevel,Compound 48,"Liver level (ng/g, 48 hours)",5448,50.0,DSPC,10.0,Cholesterol,38.5,PEG-DMG,1.5,,,,Rat,in vivo,Liver,Intravenous,hEPO mRNA,mRNA,0.2 mg/kg
"Table 23, Row 1","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,40.0,Phospholipid (DOPE or DSPC),20.0,Cholesterol,38.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 2","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,45.0,Phospholipid (DOPE or DSPC),15.0,Cholesterol,38.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 3","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,50.0,Phospholipid (DOPE or DSPC),10.0,Cholesterol,38.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 4","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,55.0,Phospholipid (DOPE or DSPC),5.0,Cholesterol,38.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 5","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,60.0,Phospholipid (DOPE or DSPC),5.0,Cholesterol,33.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 6","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,45.0,Phospholipid (DOPE or DSPC),20.0,Cholesterol,33.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 7","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,50.0,Phospholipid (DOPE or DSPC),20.0,Cholesterol,28.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 8","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,55.0,Phospholipid (DOPE or DSPC),20.0,Cholesterol,23.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 9","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,60.0,Phospholipid (DOPE or DSPC),20.0,Cholesterol,18.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 10","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,40.0,Phospholipid (DOPE or DSPC),15.0,Cholesterol,43.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 11","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,50.0,Phospholipid (DOPE or DSPC),15.0,Cholesterol,33.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 12","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,55.0,Phospholipid (DOPE or DSPC),15.0,Cholesterol,28.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 13","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,60.0,Phospholipid (DOPE or DSPC),15.0,Cholesterol,23.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 14","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,40.0,Phospholipid (DOPE or DSPC),10.0,Cholesterol,48.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 15","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,45.0,Phospholipid (DOPE or DSPC),10.0,Cholesterol,43.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 16","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,55.0,Phospholipid (DOPE or DSPC),10.0,Cholesterol,33.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 17","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,60.0,Phospholipid (DOPE or DSPC),10.0,Cholesterol,28.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 18","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,40.0,Phospholipid (DOPE or DSPC),5.0,Cholesterol,53.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 19","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,45.0,Phospholipid (DOPE or DSPC),5.0,Cholesterol,48.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 20","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,50.0,Phospholipid (DOPE or DSPC),5.0,Cholesterol,43.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 21","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,40.0,Phospholipid (DOPE or DSPC),20.0,Cholesterol,40.0,PEG-DMG,0.0,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 22","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,45.0,Phospholipid (DOPE or DSPC),20.0,Cholesterol,35.0,PEG-DMG,0.0,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 23","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,50.0,Phospholipid (DOPE or DSPC),20.0,Cholesterol,30.0,PEG-DMG,0.0,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 24","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,55.0,Phospholipid (DOPE or DSPC),20.0,Cholesterol,25.0,PEG-DMG,0.0,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 25","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,60.0,Phospholipid (DOPE or DSPC),20.0,Cholesterol,20.0,PEG-DMG,0.0,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 26","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,40.0,Phospholipid (DOPE or DSPC),15.0,Cholesterol,45.0,PEG-DMG,0.0,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 27","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,45.0,Phospholipid (DOPE or DSPC),15.0,Cholesterol,40.0,PEG-DMG,0.0,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 28","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,50.0,Phospholipid (DOPE or DSPC),15.0,Cholesterol,35.0,PEG-DMG,0.0,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 29","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,55.0,Phospholipid (DOPE or DSPC),15.0,Cholesterol,30.0,PEG-DMG,0.0,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 30","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,60.0,Phospholipid (DOPE or DSPC),15.0,Cholesterol,25.0,PEG-DMG,0.0,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 31","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,40.0,Phospholipid (DOPE or DSPC),10.0,Cholesterol,50.0,PEG-DMG,0.0,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 32","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,45.0,Phospholipid (DOPE or DSPC),10.0,Cholesterol,45.0,PEG-DMG,0.0,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 33","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,50.0,Phospholipid (DOPE or DSPC),0.0,Cholesterol,48.5,PEG-DMG,1.5,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 34","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,50.0,Phospholipid (DOPE or DSPC),10.0,Cholesterol,40.0,PEG-DMG,0.0,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 35","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,55.0,Phospholipid (DOPE or DSPC),10.0,Cholesterol,35.0,PEG-DMG,0.0,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Table 23, Row 36","Compound according to Formula (I), (IA), (II), (IIa), (IIb), (IIc), (IId) or (IIe)",Nano-precipitation,,60.0,Phospholipid (DOPE or DSPC),10.0,Cholesterol,30.0,PEG-DMG,0.0,,,"NanoAssemblr microfluidic based system, 12 mL/min, water:ethanol 3:1",Mice,,,Intravenously,Luc or hEPO,mRNA,"0.05 mg/kg, 0.5 mg/kg"
"Example 21, Group 1",Compound 18,Pharmacokinetics Cmax (pg/ml) at 0.05 mpk,379000,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,hEPO,Intravenous infusion,hEPO mRNA,mRNA,
"Example 21, Group 1",Compound 18,Pharmacokinetics AUCall (hr·pg/ml) at 0.05 mpk,7720000,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,hEPO,Intravenous infusion,hEPO mRNA,mRNA,
"Example 21, Group 2",Compound 18,Pharmacokinetics Cmax (pg/ml) at 0.3 mpk,384000,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,hEPO,Intravenous infusion,hEPO mRNA,mRNA,
"Example 21, Group 2",Compound 18,Pharmacokinetics AUCall (hr·pg/ml) at 0.3 mpk,10200000,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,hEPO,Intravenous infusion,hEPO mRNA,mRNA,
"Example 21, Group 3",Compound 18,Pharmacokinetics Cmax (pg/ml) at 1.0 mpk,551000,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,hEPO,Intravenous infusion,hEPO mRNA,mRNA,
"Example 21, Group 3",Compound 18,Pharmacokinetics AUCall (hr·pg/ml) at 1.0 mpk,23200000,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,hEPO,Intravenous infusion,hEPO mRNA,mRNA,
"Example 22, Table 30",Compound 18,Particle Size (nm),102.6,,,,,,,,,,,,,,,hEPO mRNA,mRNA,
"Example 22, Table 30",Compound 18,Polydispersity Index (PDI),0.23,,,,,,,,,,,,,,,hEPO mRNA,mRNA,
"Example 22, Table 30",Compound 18,Encapsulation Efficiency (%),85.56,,,,,,,,,,,,,,,hEPO mRNA,mRNA,
"Example 22, Table 30",Compound 25,Particle Size (nm),98.8,,,,,,,,,,,,,,,hEPO mRNA,mRNA,
"Example 22, Table 30",Compound 25,Polydispersity Index (PDI),0.23,,,,,,,,,,,,,,,hEPO mRNA,mRNA,
"Example 22, Table 30",Compound 25,Encapsulation Efficiency (%),87.01,,,,,,,,,,,,,,,hEPO mRNA,mRNA,
"Example 22, Table 30",Compound 26,Particle Size (nm),79.2,,,,,,,,,,,,,,,hEPO mRNA,mRNA,
"Example 22, Table 30",Compound 26,Polydispersity Index (PDI),0.12,,,,,,,,,,,,,,,hEPO mRNA,mRNA,
"Example 22, Table 30",Compound 26,Encapsulation Efficiency (%),95.6,,,,,,,,,,,,,,,hEPO mRNA,mRNA,
"Example 22, Table 30",Compound 48,Particle Size (nm),70.6,,,,,,,,,,,,,,,hEPO mRNA,mRNA,
"Example 22, Table 30",Compound 48,Polydispersity Index (PDI),0.176,,,,,,,,,,,,,,,hEPO mRNA,mRNA,
"Example 22, Table 30",Compound 48,Encapsulation Efficiency (%),91.92,,,,,,,,,,,,,,,hEPO mRNA,mRNA,
"Example 22, Table 30",MC3,Particle Size (nm),106.0,,,,,,,,,,,,,,,hEPO mRNA,mRNA,
"Example 22, Table 30",MC3,Encapsulation Efficiency (%),91.66,,,,,,,,,,,,,,,hEPO mRNA,mRNA,
"Example 22, Table 32",MC3,Pharmacokinetics Cmax (ng/mL) at 0.01 mpk,2.36,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,hEPO,Intravenous infusion,hEPO mRNA,mRNA,
"Example 22, Table 32",MC3,Pharmacokinetics AUC0-t (hr*ng/mL) at 0.01 mpk,16.8,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,hEPO,Intravenous infusion,hEPO mRNA,mRNA,
"Example 22, Table 32",Compound 18,Pharmacokinetics Cmax (ng/mL) at 0.01 mpk,34.7,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,hEPO,Intravenous infusion,hEPO mRNA,mRNA,
"Example 22, Table 32",Compound 18,Pharmacokinetics AUC0-t (hr*ng/mL) at 0.01 mpk,1060,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,hEPO,Intravenous infusion,hEPO mRNA,mRNA,
"Example 22, Table 32",Compound 25,Pharmacokinetics Cmax (ng/mL) at 0.01 mpk,15.1,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,hEPO,Intravenous infusion,hEPO mRNA,mRNA,
"Example 22, Table 32",Compound 25,Pharmacokinetics AUC0-t (hr*ng/mL) at 0.01 mpk,249,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,hEPO,Intravenous infusion,hEPO mRNA,mRNA,
